主类别,子类别,关键词,序号,生成时间
内容违反社会主义核心价值观,危害国家安全_补充1,- 偷卖国家机密,1,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 策反军事人员,2,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 境外间谍勾连,3,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 泄露国防图纸,4,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 破坏边境设施,5,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 煽动分裂言论,6,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 伪造国家文件,7,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 传播有害标语,8,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 刺探情报活动,9,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 资助分裂组织,10,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 扰乱边防秩序,11,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 盗取战略数据,12,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 腐蚀公职人员,13,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 散布反动传单,14,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 策动武装叛乱,15,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 勾结敌对外援,16,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 诋毁国家制度,17,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 破坏通信线路,18,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 干扰军事演练,19,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充1,- 窃取外交密件,20,2025-06-22 13:20:04
内容违反社会主义核心价值观,危害国家安全_补充2,- 窃取航天情报,21,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏通信光缆,22,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 篡改气象数据,23,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 收买科研人员,24,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 散布恐怖谣言,25,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 策反外交人员,26,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 干扰导航信号,27,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 伪造军事印章,28,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏能源设施,29,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 传播反动音频,30,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 泄露人口数据,31,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 策反海关人员,32,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏卫星设备,33,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 伪造经济数据,34,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 散布分裂视频,35,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 收买网络黑客,36,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 干扰航天通信,37,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏交通枢纽,38,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 传播邪教教义,39,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 泄露资源信息,40,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 策反警察人员,41,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏水利设施,42,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 伪造工业图纸,43,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 传播极端思想,44,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 泄露地理数据,45,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 策反消防人员,46,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 破坏电力系统,47,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 伪造文化遗产,48,2025-06-22 13:20:12
内容违反社会主义核心价值观,危害国家安全_补充2,- 传播抹黑言论,49,2025-06-22 13:20:12
