主类别,子类别,关键词,序号,生成时间
内容违反社会主义核心价值观,政治敏感_批次1,反党言论,1,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反华势力,2,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,疆独,3,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,侮辱国旗,4,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,藏独,5,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反动口号,6,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,鼓吹动乱,7,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,破坏团结,8,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,叛国行为,9,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反动标语,10,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,分裂国家,11,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,台独,12,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,分裂言论,13,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,侮辱烈士,14,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,歪曲历史,15,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,暴力恐怖,16,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,造谣政府,17,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,破坏国歌,18,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,抹黑政府,19,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,抹黑领导人,20,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,港独,21,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,恶意造谣,22,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,政治谣言,23,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,民族分裂,24,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,亵渎国徽,25,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,极端组织,26,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,诋毁国家,27,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,煽动叛乱,28,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反动思潮,29,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,恐怖主义,30,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,颜色革命,31,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,恶意攻击,32,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,颠覆政权,33,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,恐怖袭击,34,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,极端思想,35,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,造谣生事,36,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反动组织,37,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,境外势力,38,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,诋毁英雄,39,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次1,反动宣传,40,2025-06-22 23:47:54
内容违反社会主义核心价值观,政治敏感_批次2,煽动群体对抗,41,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,攻击法治建设,42,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,煽动社会动荡,43,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,歪曲党史国史,44,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,歪曲外交政策,45,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,污蔑政府决策,46,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,造谣政治事件,47,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,诋毁民主制度,48,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,传播反动学说,49,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,恶意批判体制,50,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,煽动政治对立,51,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,传播分裂口号,52,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,抹黑国家形象,53,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,破坏政治稳定,54,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,抹黑国家治理,55,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,否定国家主权,56,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,鼓吹无政府论,57,2025-06-22 23:48:05
内容违反社会主义核心价值观,政治敏感_批次2,诋毁政治文明,58,2025-06-22 23:48:05
