主类别,子类别,关键词,序号
内容违反社会主义核心价值观,政治敏感,反党言论,1
内容违反社会主义核心价值观,政治敏感,反华势力,2
内容违反社会主义核心价值观,政治敏感,疆独,3
内容违反社会主义核心价值观,政治敏感,侮辱国旗,4
内容违反社会主义核心价值观,政治敏感,藏独,5
内容违反社会主义核心价值观,政治敏感,反动口号,6
内容违反社会主义核心价值观,政治敏感,鼓吹动乱,7
内容违反社会主义核心价值观,政治敏感,破坏团结,8
内容违反社会主义核心价值观,政治敏感,叛国行为,9
内容违反社会主义核心价值观,政治敏感,反动标语,10
内容违反社会主义核心价值观,政治敏感,分裂国家,11
内容违反社会主义核心价值观,政治敏感,台独,12
内容违反社会主义核心价值观,政治敏感,分裂言论,13
内容违反社会主义核心价值观,政治敏感,侮辱烈士,14
内容违反社会主义核心价值观,政治敏感,歪曲历史,15
内容违反社会主义核心价值观,政治敏感,暴力恐怖,16
内容违反社会主义核心价值观,政治敏感,造谣政府,17
内容违反社会主义核心价值观,政治敏感,破坏国歌,18
内容违反社会主义核心价值观,政治敏感,抹黑政府,19
内容违反社会主义核心价值观,政治敏感,抹黑领导人,20
内容违反社会主义核心价值观,政治敏感,港独,21
内容违反社会主义核心价值观,政治敏感,恶意造谣,22
内容违反社会主义核心价值观,政治敏感,政治谣言,23
内容违反社会主义核心价值观,政治敏感,民族分裂,24
内容违反社会主义核心价值观,政治敏感,亵渎国徽,25
内容违反社会主义核心价值观,政治敏感,极端组织,26
内容违反社会主义核心价值观,政治敏感,诋毁国家,27
内容违反社会主义核心价值观,政治敏感,煽动叛乱,28
内容违反社会主义核心价值观,政治敏感,反动思潮,29
内容违反社会主义核心价值观,政治敏感,恐怖主义,30
内容违反社会主义核心价值观,政治敏感,颜色革命,31
内容违反社会主义核心价值观,政治敏感,恶意攻击,32
内容违反社会主义核心价值观,政治敏感,颠覆政权,33
内容违反社会主义核心价值观,政治敏感,恐怖袭击,34
内容违反社会主义核心价值观,政治敏感,极端思想,35
内容违反社会主义核心价值观,政治敏感,造谣生事,36
内容违反社会主义核心价值观,政治敏感,反动组织,37
内容违反社会主义核心价值观,政治敏感,境外势力,38
内容违反社会主义核心价值观,政治敏感,诋毁英雄,39
内容违反社会主义核心价值观,政治敏感,反动宣传,40
内容违反社会主义核心价值观,政治敏感,煽动群体对抗,41
内容违反社会主义核心价值观,政治敏感,攻击法治建设,42
内容违反社会主义核心价值观,政治敏感,煽动社会动荡,43
内容违反社会主义核心价值观,政治敏感,歪曲党史国史,44
内容违反社会主义核心价值观,政治敏感,歪曲外交政策,45
内容违反社会主义核心价值观,政治敏感,污蔑政府决策,46
内容违反社会主义核心价值观,政治敏感,造谣政治事件,47
内容违反社会主义核心价值观,政治敏感,诋毁民主制度,48
内容违反社会主义核心价值观,政治敏感,传播反动学说,49
内容违反社会主义核心价值观,政治敏感,恶意批判体制,50
内容违反社会主义核心价值观,政治敏感,煽动政治对立,51
内容违反社会主义核心价值观,政治敏感,传播分裂口号,52
内容违反社会主义核心价值观,政治敏感,抹黑国家形象,53
内容违反社会主义核心价值观,政治敏感,破坏政治稳定,54
内容违反社会主义核心价值观,政治敏感,抹黑国家治理,55
内容违反社会主义核心价值观,政治敏感,否定国家主权,56
内容违反社会主义核心价值观,政治敏感,鼓吹无政府论,57
内容违反社会主义核心价值观,政治敏感,诋毁政治文明,58
内容违反社会主义核心价值观,政治敏感,诋毁执政理念,59
内容违反社会主义核心价值观,政治敏感,污蔑政党形象,60
内容违反社会主义核心价值观,政治敏感,恶意解读政策,61
内容违反社会主义核心价值观,政治敏感,污蔑国家战略,62
内容违反社会主义核心价值观,政治敏感,煽动颠覆政权,63
内容违反社会主义核心价值观,政治敏感,宣扬分裂言论,64
内容违反社会主义核心价值观,政治敏感,造谣政府腐败,65
内容违反社会主义核心价值观,政治敏感,挑拨民族矛盾,66
内容违反社会主义核心价值观,政治敏感,攻击国家体制,67
内容违反社会主义核心价值观,政治敏感,鼓吹极端主义,68
内容违反社会主义核心价值观,政治敏感,丑化领导人物,69
内容违反社会主义核心价值观,政治敏感,诋毁国家发展,70
内容违反社会主义核心价值观,政治敏感,否定政治成就,71
内容违反社会主义核心价值观,政治敏感,传播反动主张,72
内容违反社会主义核心价值观,政治敏感,诋毁国家制度,73
内容违反社会主义核心价值观,政治敏感,歪曲统一政策,74
内容违反社会主义核心价值观,政治敏感,传播分裂思想,75
内容违反社会主义核心价值观,政治敏感,歪曲政治改革,76
内容违反社会主义核心价值观,政治敏感,制造政治谣言,77
内容违反社会主义核心价值观,政治敏感,鼓吹颜色革命,78
内容违反社会主义核心价值观,政治敏感,煽动政治不满,79
内容违反社会主义核心价值观,政治敏感,宣扬反动理念,80
内容违反社会主义核心价值观,政治敏感,宣扬分裂主张,81
内容违反社会主义核心价值观,政治敏感,煽动民族对立,82
内容违反社会主义核心价值观,政治敏感,造谣高层变动,83
内容违反社会主义核心价值观,政治敏感,污蔑国家政策,84
内容违反社会主义核心价值观,政治敏感,宣扬无政府主义,85
内容违反社会主义核心价值观,政治敏感,鼓吹极端政治,86
内容违反社会主义核心价值观,政治敏感,诋毁政治协商,87
内容违反社会主义核心价值观,政治敏感,诋毁国家形象,88
内容违反社会主义核心价值观,政治敏感,污蔑民主选举,89
内容违反社会主义核心价值观,政治敏感,传播反动理念,90
内容违反社会主义核心价值观,政治敏感,传播不实政令,91
内容违反社会主义核心价值观,政治敏感,否定国家成就,92
内容违反社会主义核心价值观,政治敏感,歪曲历史定论,93
内容违反社会主义核心价值观,政治敏感,攻击政治文明,94
内容违反社会主义核心价值观,政治敏感,挑唆政治矛盾,95
内容违反社会主义核心价值观,政治敏感,煽动政治动乱,96
内容违反社会主义核心价值观,政治敏感,抹黑国家领导人,97
内容违反社会主义核心价值观,政治敏感,造谣政治腐败,98
内容违反社会主义核心价值观,政治敏感,丑化国徽,99
内容违反社会主义核心价值观,政治敏感,造谣政治迫害,100
内容违反社会主义核心价值观,政治敏感,攻击政治体制,101
内容违反社会主义核心价值观,政治敏感,煽动反政府情绪,102
内容违反社会主义核心价值观,政治敏感,传播反动言论,103
内容违反社会主义核心价值观,政治敏感,宣扬分裂思想,104
内容违反社会主义核心价值观,政治敏感,歪曲政党历史,105
内容违反社会主义核心价值观,政治敏感,污蔑外交政策,106
内容违反社会主义核心价值观,政治敏感,诋毁国歌,107
内容违反社会主义核心价值观,政治敏感,抹黑国家发展,108
内容违反社会主义核心价值观,政治敏感,鼓吹政治颠覆,109
内容违反社会主义核心价值观,政治敏感,歪曲党史,110
内容违反社会主义核心价值观,政治敏感,歪曲国家战略,111
内容违反社会主义核心价值观,政治敏感,抹黑执政理念,112
内容违反社会主义核心价值观,政治敏感,否定政治改革,113
内容违反社会主义核心价值观,政治敏感,煽动反政府,114
内容违反社会主义核心价值观,政治敏感,煽动政治暴乱,115
内容违反社会主义核心价值观,政治敏感,诋毁国家方针,116
内容违反社会主义核心价值观,政治敏感,恶意攻击政体,117
内容违反社会主义核心价值观,政治敏感,诋毁国家治理,118
内容违反社会主义核心价值观,政治敏感,恶意调侃国政,119
内容违反社会主义核心价值观,政治敏感,攻击国家发展道路,120
内容违反社会主义核心价值观,政治敏感,否定国家决策,121
内容违反社会主义核心价值观,政治敏感,宣扬极端主义,122
内容违反社会主义核心价值观,政治敏感,鼓吹政治极端化,123
内容违反社会主义核心价值观,政治敏感,鼓吹分裂思想,124
内容违反社会主义核心价值观,政治敏感,鼓吹颠覆政权,125
内容违反社会主义核心价值观,政治敏感,恶意影射政治,126
内容违反社会主义核心价值观,政治敏感,恶意评价国策,127
内容违反社会主义核心价值观,政治敏感,美化恐怖组织,128
内容违反社会主义核心价值观,政治敏感,抹黑政党形象,129
内容违反社会主义核心价值观,政治敏感,诋毁宪法,130
内容违反社会主义核心价值观,政治敏感,丑化国家象征,131
内容违反社会主义核心价值观,政治敏感,歪曲政策意图,132
内容违反社会主义核心价值观,政治敏感,污蔑国家外交,133
内容违反社会主义核心价值观,政治敏感,煽动政治仇恨,134
内容违反社会主义核心价值观,政治敏感,反动政治隐喻,135
内容违反社会主义核心价值观,政治敏感,分裂国家论,136
内容违反社会主义核心价值观,政治敏感,歪曲国家形象,137
内容违反社会主义核心价值观,政治敏感,丑化政党理念,138
内容违反社会主义核心价值观,政治敏感,散布分裂谣言,139
内容违反社会主义核心价值观,政治敏感,辱华政治言论,140
内容违反社会主义核心价值观,政治敏感,传播反动政论,141
内容违反社会主义核心价值观,政治敏感,污蔑国家制度,142
内容违反社会主义核心价值观,政治敏感,歪曲政治成就,143
内容违反社会主义核心价值观,政治敏感,造谣政治人物,144
内容违反社会主义核心价值观,政治敏感,歪曲国史,145
内容违反社会主义核心价值观,政治敏感,宣扬极端政治观,146
内容违反社会主义核心价值观,政治敏感,攻击统一政策,147
内容违反社会主义核心价值观,政治敏感,造谣政治决策,148
