主类别,子类别,关键词,序号
内容违反社会主义核心价值观,政治敏感,邪教组织宣扬,1
内容违反社会主义核心价值观,政治敏感,鼓吹颜色革命,2
内容违反社会主义核心价值观,政治敏感,恶意攻击政府,3
内容违反社会主义核心价值观,政治敏感,抹黑国家形象,4
内容违反社会主义核心价值观,政治敏感,破坏民族团结,5
内容违反社会主义核心价值观,政治敏感,支持藏独言论,6
内容违反社会主义核心价值观,政治敏感,分裂国家主张,7
内容违反社会主义核心价值观,政治敏感,非法集会信息,8
内容违反社会主义核心价值观,政治敏感,攻击民主制度,9
内容违反社会主义核心价值观,政治敏感,歪曲历史事件,10
内容违反社会主义核心价值观,政治敏感,恶意解读政策,11
内容违反社会主义核心价值观,政治敏感,法轮功信息,12
内容违反社会主义核心价值观,政治敏感,恶意评论会议,13
内容违反社会主义核心价值观,政治敏感,反政府宣传单,14
内容违反社会主义核心价值观,政治敏感,丑化英雄事迹,15
内容违反社会主义核心价值观,政治敏感,天安门自焚,16
内容违反社会主义核心价值观,政治敏感,境外反华言论,17
内容违反社会主义核心价值观,政治敏感,抹黑国家话语,18
内容违反社会主义核心价值观,政治敏感,诋毁国家制度,19
内容违反社会主义核心价值观,政治敏感,造谣领导人私,20
内容违反社会主义核心价值观,政治敏感,反动政治口号,21
内容违反社会主义核心价值观,政治敏感,诋毁领导人语,22
内容违反社会主义核心价值观,政治敏感,反动标语内容,23
内容违反社会主义核心价值观,政治敏感,宣扬台独主张,24
内容违反社会主义核心价值观,政治敏感,煽动群体对抗,25
内容违反社会主义核心价值观,政治敏感,极端主义思想,26
内容违反社会主义核心价值观,政治敏感,叛国投敌言论,27
内容违反社会主义核心价值观,政治敏感,传播反动传单,28
内容违反社会主义核心价值观,政治敏感,支持疆独说法,29
内容违反社会主义核心价值观,政治敏感,歪曲政策意图,30
内容违反社会主义核心价值观,政治敏感,分裂势力口号,31
内容违反社会主义核心价值观,政治敏感,反动组织活动,32
内容违反社会主义核心价值观,政治敏感,挑拨民族关系,33
内容违反社会主义核心价值观,政治敏感,污蔑国家发展,34
内容违反社会主义核心价值观,政治敏感,颠覆政权言论,35
内容违反社会主义核心价值观,政治敏感,反党思想传播,36
内容违反社会主义核心价值观,政治敏感,宣扬恐怖主义,37
内容违反社会主义核心价值观,政治敏感,造谣政治事件,38
内容违反社会主义核心价值观,政治敏感,港独相关言论,39
