主类别,子类别,关键词,序号
内容违反社会主义核心价值观,分裂国家,倡导台独活动,1
内容违反社会主义核心价值观,分裂国家,搞台独分裂,2
内容违反社会主义核心价值观,分裂国家,藏独,3
内容违反社会主义核心价值观,分裂国家,资助藏独势力,4
内容违反社会主义核心价值观,分裂国家,加入台独组织,5
内容违反社会主义核心价值观,分裂国家,破坏民族和谐,6
内容违反社会主义核心价值观,分裂国家,蒙独,7
内容违反社会主义核心价值观,分裂国家,蒙独分子,8
内容违反社会主义核心价值观,分裂国家,加入疆独组织,9
内容违反社会主义核心价值观,分裂国家,资助疆独势力,10
内容违反社会主义核心价值观,分裂国家,传播分裂言论,11
内容违反社会主义核心价值观,分裂国家,支持台独主张,12
内容违反社会主义核心价值观,分裂国家,搞藏独分裂,13
内容违反社会主义核心价值观,分裂国家,煽动民族对立,14
内容违反社会主义核心价值观,分裂国家,挑起民族纷争,15
内容违反社会主义核心价值观,分裂国家,搞蒙独分裂,16
内容违反社会主义核心价值观,分裂国家,分裂领土,17
内容违反社会主义核心价值观,分裂国家,倡导藏独活动,18
内容违反社会主义核心价值观,分裂国家,资助蒙独势力,19
内容违反社会主义核心价值观,分裂国家,支持疆独行径,20
内容违反社会主义核心价值观,分裂国家,破坏领土完整,21
内容违反社会主义核心价值观,分裂国家,疆独,22
内容违反社会主义核心价值观,分裂国家,分裂主权,23
内容违反社会主义核心价值观,分裂国家,鼓吹蒙独思想,24
内容违反社会主义核心价值观,分裂国家,疆独分子,25
内容违反社会主义核心价值观,分裂国家,加入藏独组织,26
内容违反社会主义核心价值观,分裂国家,支持藏独行为,27
内容违反社会主义核心价值观,分裂国家,台独分子,28
内容违反社会主义核心价值观,分裂国家,倡导疆独活动,29
内容违反社会主义核心价值观,分裂国家,倡导蒙独活动,30
内容违反社会主义核心价值观,分裂国家,瓦解民族团结,31
内容违反社会主义核心价值观,分裂国家,藏独分子,32
内容违反社会主义核心价值观,分裂国家,加入蒙独组织,33
内容违反社会主义核心价值观,分裂国家,资助台独势力,34
内容违反社会主义核心价值观,分裂国家,宣扬分裂理念,35
内容违反社会主义核心价值观,分裂国家,破坏国家统一,36
内容违反社会主义核心价值观,分裂国家,煽动分裂言论,37
内容违反社会主义核心价值观,分裂国家,制造民族分裂,38
内容违反社会主义核心价值观,分裂国家,分裂国家,39
内容违反社会主义核心价值观,分裂国家,台独,40
内容违反社会主义核心价值观,分裂国家,搞疆独分裂,41
内容违反社会主义核心价值观,分裂国家,传播蒙独思想,42
内容违反社会主义核心价值观,分裂国家,加入分裂民族组织,43
内容违反社会主义核心价值观,分裂国家,宣扬分裂国家,44
内容违反社会主义核心价值观,分裂国家,煽动台独情绪,45
内容违反社会主义核心价值观,分裂国家,倡导港独行为,46
内容违反社会主义核心价值观,分裂国家,传播港独思想,47
内容违反社会主义核心价值观,分裂国家,支持台独理念,48
内容违反社会主义核心价值观,分裂国家,鼓吹疆独理念,49
内容违反社会主义核心价值观,分裂国家,传播分裂主张,50
内容违反社会主义核心价值观,分裂国家,倡导分裂民族团结,51
内容违反社会主义核心价值观,分裂国家,支持分裂活动,52
内容违反社会主义核心价值观,分裂国家,煽动分裂民族情绪,53
内容违反社会主义核心价值观,分裂国家,鼓吹分裂统一,54
内容违反社会主义核心价值观,分裂国家,宣扬分裂民族团结理念,55
内容违反社会主义核心价值观,分裂国家,倡导分裂领土,56
内容违反社会主义核心价值观,分裂国家,支持分裂统一活动,57
内容违反社会主义核心价值观,分裂国家,鼓吹国家分裂,58
内容违反社会主义核心价值观,分裂国家,加入分裂民族团结组织,59
内容违反社会主义核心价值观,分裂国家,宣扬港独理念,60
内容违反社会主义核心价值观,分裂国家,传播分裂统一主张,61
内容违反社会主义核心价值观,分裂国家,传播分裂思想,62
内容违反社会主义核心价值观,分裂国家,搞港独分裂,63
内容违反社会主义核心价值观,分裂国家,搞分裂民族团结活动,64
内容违反社会主义核心价值观,分裂国家,煽动蒙独情绪,65
内容违反社会主义核心价值观,分裂国家,宣扬藏独理念,66
内容违反社会主义核心价值观,分裂国家,宣扬分裂民族理念,67
内容违反社会主义核心价值观,分裂国家,搞分裂民族活动,68
内容违反社会主义核心价值观,分裂国家,加入港独组织,69
