主类别,子类别,关键词,序号
内容违反社会主义核心价值观,分裂国家,鼓吹国家分裂,1
内容违反社会主义核心价值观,分裂国家,鼓吹台独,2
内容违反社会主义核心价值观,分裂国家,传播分裂思想,3
内容违反社会主义核心价值观,分裂国家,支持疆独,4
内容违反社会主义核心价值观,分裂国家,搞藏独活动,5
内容违反社会主义核心价值观,分裂国家,宣扬港独,6
内容违反社会主义核心价值观,分裂国家,分裂国家,7
内容违反社会主义核心价值观,分裂国家,宣扬蒙独,8
内容违反社会主义核心价值观,分裂国家,搞疆独活动,9
内容违反社会主义核心价值观,分裂国家,破坏统一,10
内容违反社会主义核心价值观,分裂国家,宣扬台独,11
内容违反社会主义核心价值观,分裂国家,危害民族团结,12
内容违反社会主义核心价值观,分裂国家,宣扬疆独,13
内容违反社会主义核心价值观,分裂国家,破坏国家统一,14
内容违反社会主义核心价值观,分裂国家,煽动民族分裂,15
内容违反社会主义核心价值观,分裂国家,鼓吹疆独,16
内容违反社会主义核心价值观,分裂国家,鼓吹蒙独,17
内容违反社会主义核心价值观,分裂国家,疆独,18
内容违反社会主义核心价值观,分裂国家,支持港独,19
内容违反社会主义核心价值观,分裂国家,搞港独活动,20
内容违反社会主义核心价值观,分裂国家,破坏民族团结,21
内容违反社会主义核心价值观,分裂国家,支持蒙独,22
内容违反社会主义核心价值观,分裂国家,分裂领土,23
内容违反社会主义核心价值观,分裂国家,搞蒙独活动,24
内容违反社会主义核心价值观,分裂国家,分裂中国,25
内容违反社会主义核心价值观,分裂国家,台独,26
内容违反社会主义核心价值观,分裂国家,分裂国土,27
内容违反社会主义核心价值观,分裂国家,支持台独,28
内容违反社会主义核心价值观,分裂国家,蒙独,29
内容违反社会主义核心价值观,分裂国家,煽动分裂,30
内容违反社会主义核心价值观,分裂国家,宣扬藏独,31
内容违反社会主义核心价值观,分裂国家,支持藏独,32
内容违反社会主义核心价值观,分裂国家,鼓吹藏独,33
内容违反社会主义核心价值观,分裂国家,破坏领土完整,34
内容违反社会主义核心价值观,分裂国家,制造分裂言论,35
内容违反社会主义核心价值观,分裂国家,鼓吹港独,36
内容违反社会主义核心价值观,分裂国家,搞台独活动,37
内容违反社会主义核心价值观,分裂国家,港独,38
内容违反社会主义核心价值观,分裂国家,推动分裂活动,39
内容违反社会主义核心价值观,分裂国家,藏独,40
内容违反社会主义核心价值观,分裂国家,煽动疆独理念,41
内容违反社会主义核心价值观,分裂国家,倡导台独言论,42
内容违反社会主义核心价值观,分裂国家,传播蒙独思想,43
